submission-id,site-name,record-taken,record_submitted,type-name,comment,metadata,tag_list,image_url
5290,Machrie Moor Standing Circles,11/03/2020,12/03/2020,TWITTER,#monumentmonitor #machrie https://t.co/TVgb2P56Ws,circle 3,"{""make""=>nil, ""size""=>174495, ""model""=>nil, ""width""=>1200, ""height""=>900, ""resolution""=>[72, 72]}",/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb1lVIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bbd61a464d4a2109d3b46500c254f866aec55cf2/5290_11-03-2020_t.jpg
5289,Machrie Moor,11/03/2020,12/03/2020,TWITTER,#monumentmonitor #machrie https://t.co/dEoOJ9pvNg,"substantial, circle 6","{""make""=>nil, ""size""=>328587, ""model""=>nil, ""width""=>1200, ""height""=>900, ""resolution""=>[72, 72]}",/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb1VVIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--583b80ef176f06ff748647faeaa35ad778181462/5289_11-03-2020_t.jpg
